gene AvgCodingLen expr reptime hic constraint_score Expression_hub Regulator Genomic_abnormalities_CNV meEthylation
AATK 4.195 14.36821624 243 22 0.182079584 0 0 0 0.618459
ABAT 1.687 12.90614082 358 -10 1.045162096 0 0 0 0.211636
ABCA1 7.417 12.18132903 637 -18 2.067312148 0 0 0 0.0222167
ABCA10 4.947 11.82973421 415 -43 -2.709763938 5 0 0 0.198511193023256
ABCA12 8.199 13.17450791 857 9 0.291714136 0 0 0 0
ABCA13 15.487 11.44357539 878 -11 -5.026109737 0 0 1 0
ABCA17P 2.12119101123595 13.1215110696629 404.007865168539 24.1077528089888 0.816078046224719 0 0 0 0.0324499
ABCA2 7.726 14.4843338 202 40 5.36774103 0 0 0 0.433224
ABCA3 5.282 14.61322764 233 46 0.927942138 0 0 0 0.0324499
ABCA4 7.332 13.14702087 370 -2 -1.497820316 0 0 0 0
ABCA5 5.122 10.87085155 314 -50 -1.895087957 0 0 0 0.12601
ABCA6 5.142 12.38852336 493 -39 -2.450587845 0 0 0 0.691785
ABCA7 6.755 14.6859454 206 26 -1.126107565 0 0 1 0.184321
ABCA8 5.056 12.59760109 637 -41 -1.747020719 0 0 0 0.895896
ABCA9 5.069 12.47999676 602 -42 -0.72654138 0 0 0 0.858392
ABCB1 3.978 12.56825788 452.24 13.37 0.509736541 0 0 1 0.0396611
ABCB10 2.282 12.4522528 277 20 1.360851475 0 0 0 0.0195404
ABCB11 4.101 12.31753352 560 1 -0.239272106 0 0 0 0.8841
ABCB4 3.996 12.3252547 837 8 1.153455884 0 0 1 0
ABCB5 3.952 12.00895009 648 4 -4.656362618 0 0 1 0.867153
ABCB6 2.624 13.55833441 177 36 0.488915131 0 0 0 0.535794
ABCB7 2.342 12.11735618 663.46 -5 2.715132267 0 0 1 0
ABCB8 2.569 13.34085292 373 41 0.547587477 0 0 1 0.0151067
ABCB9 2.393 13.90454015 196 47 0.438622827 0 0 0 0.0223695
ABCC1 4.786 12.9223649 264 33 2.079694662 0 0 0 0.173946
ABCC10 4.661 14.0547361 230 49 -0.011690393 0 0 0 0.801312
ABCC11 4.294 12.28552595 578 -22 -1.060268036 0 0 0 0
ABCC12 4.24 12.34439442 628 -27 -0.332716958 0 0 0 0.730501
ABCC13 1.96155208333333 13.118705865125 428.613125 24.3904166666667 -0.0419451273958333 0 0 0 0.886794
ABCC2 4.813 13.85002309 171 30 -2.484880437 0 0 0 0.853969
ABCC3 5.019 14.2764747 196 18 -0.124892452 0 0 0 0.0560359
ABCC4 4.189 12.20795587 596 30 0.787037453 0 0 0 0.0950387
ABCC5 4.735 14.17012508 375 43 3.332543006 0 0 0 0.0259574
ABCC6 4.748 12.86313399 188 23 -0.97086141 0 0 0 0
ABCC8 4.944 13.02695979 598 14 2.598271311 0 0 0 0.33673
ABCC9 5.144 13.18046435 984 -17 4.888441737 0 0 0 0.617458
ABCD1 2.446 14.46269443 210.46 37 2.408632484 0 0 1 0
ABCD2 2.273 11.15786351 596 -16 2.209876827 0 0 0 0.179825
ABCD3 2.204 13.03859909 348 -8 2.42050544 0 0 0 0.10973
ABCD4 1.943 13.38784125 358 47 0.637338959 0 0 0 0.0541316
ABCE1 1.885 12.15113588 1139 32 4.310700639 0 0 0 0.0205699
ABCF1 5.333 14.54815822 271 32 2.532364091 0 0 0 0.0288972
ABCF2 1.984 13.32138799 290 32 2.702746554 0 0 1 0.0132764
ABCF3 2.235 14.19407575 257 49 0.907939328 0 0 0 0.0235987
ABCG1 3.025 12.57573439 464 75 2.659166509 0 0 0 0.512656
ABCG2 2.043 12.97751331 209 -7 -1.813652453 0 0 0 0.12469
ABCG4 2.011 14.04511559 195 57 2.905342684 0 0 0 0.312753
ABCG5 2.021 13.20843281 480 35 -1.005608261 0 0 0 0.876223
ABCG8 2.087 13.12548051 480 30 -2.850770463 0 0 0 0.876223
ABHD1 1.263 14.00951115 238 50 -1.406648702 0 0 0 0.0344151
ABHD10 0.993 12.38440291 250 10 -0.079915334 0 0 0 0.0290509
ABHD11 0.978 13.89437996 214 54 0.610520603 0 0 1 0.0140793
ABHD12 1.325 13.31891159 348 -3 0.204165527 0 0 0 0.0366985
ABHD12B 1.154 12.92638742 431 41 -0.672783989 0 0 0 0.722238
ABHD13 1.019 11.18106856 952 -32 0.564670211 0 0 0 0
ABHD14A 0.841 13.86013874 224 36 -0.027480092 0 0 0 0.712345
ABHD14A-ACY1 1.727 12.59765944 572.29 17.25 -0.343003102 6 0 0 0.224644252459016
ABHD14B 0.929 13.86013874 224 36 0.090890072 0 0 0 0.712345
ABHD15 1.417 13.59558183 353 23 1.856309239 0 0 0 0
ABHD16A 3.985 14.73867203 193 20 2.73258431 0 0 0 0
ABHD16B 1.415 13.93217386 206 44 2.013307336 0 0 0 0
ABHD17A 1.111 14.6161637 214 26 4.006467892 7 0 0 0.154004883191489
ABHD17B 0.914 12.55699357 358 4 2.276145733 9 0 0 0.194848526436782
ABHD17C 1.005 12.72121992 313 7 4.197001081 4 0 0 0.153608048421053
ABHD18 1.498 12.35111194 284 16 -0.228326979 4 0 0 0.197816215853659
ABHD2 1.323 13.36805402 388 22 2.373229315 0 0 0 0.0311672
ABHD3 1.363 12.50516191 244 57 0.168098144 0 0 0 0
ABHD4 1.064 13.79051475 380 49 -0.01057751 0 0 0 0.023853
ABHD5 1.085 11.54791609 437 33 -0.096487751 0 0 0 0.0646109
ABHD6 1.054 13.32317297 221 43 0.22251503 0 0 0 0.0108092
ABHD8 1.34 13.6436398 211 43 3.2553654 0 0 1 0.0865078
ABI1 1.666 12.7443247 447 30 1.559007259 0 0 0 0.01568
ABI2 1.811 12.93614946 298 23 2.422322401 0 0 0 0.0158302
ABI3 1.141 13.61241715 346 24 -0.98051765 0 0 0 0.816327
ABI3BP 5.698 13.03717579 548 -1 -0.736789567 0 0 0 0
ABL1 3.589 13.13331519 211 29 2.661520825 21 1 0 0.0629316
ABL2 4.958 12.7021947 301 6 1.305253998 28 1 0 0.314861
ABLIM1 2.628 12.4985818 257 13 1.708304959 0 0 0 0.882565
ABLIM2 2.121 12.05857561 230 36 -1.405703518 0 0 0 0
ABLIM3 2.286 12.73637437 423 17 -0.341641805 1 1 0 0.178794
ABO 1.099 14.43900376 416 45 0.473893887 0 0 0 0.116535
ABP1 1.90957303370787 13.1214991232584 450.138988764045 17.6839325842697 0.999098409449438 0 0 0 0.359683
ABR 3.139 14.11318108 270 22 4.510054713 0 0 1 0.0593182
ABRA 1.156 11.64008661 708 18 -0.86903123 1 1 1 0.928022
ABRACL 0.399 12.57591748 640 16 0.083030865 5 0 0 0.197894305882353
ABRAXAS1 1.502 12.52540236 378 29 -0.445640119 3 0 0 0.220931910892857
ABRAXAS2 1.293 12.58047011 200 36 0.854917203 7 0 0 0.22481904875
ABT1 0.834 12.92875921 498 24 1.647655312 31 1 0 0.0223678
ABTB1 1.497 13.42890351 336 45 0.364086961 0 0 0 0.271612
ABTB2 3.163 13.55379898 368 32 1.157658156 0 0 0 0.0525538
AC000003.2 0.377 13.0629968 420.13 7.42 0.037242205 10 0 0 0.195947392857143
AC002451.1 0.428 13.46413526 289.86 34.25 0.48332 5 0 0 0.153503194029851
AC002472.13 1.292 12.39832656 635.29 6.85 0.484109361 2 0 0 0.225167103703704
AC003101.1 0.45 12.83793815 446.07 20.09 -0.216427744 7 0 0 0.209339686428571
AC003102.1 0.116 12.80827736 442.3 20.43 -0.176551963 8 0 0 0.168320803513514
AC004017.1 0.266 13.45745174 398.36 20.19 0.657024776 5 0 0 0.184317390243902
AC004076.9 0.429 13.11870937 407.6 23.4 0.277730261 5 0 0 0.179415907317073
AC004381.6 2.42 13.10952936 410.56 25.26 0.541922857 7 0 0 0.156161589583333
AC004466.1 0.428 13.08626493 468.01 10.9 -0.061350147 2 0 0 0.238497990819672
AC004899.1 0.416 13.1115863 398 33.37 0.976510782 4 0 0 0.189248737096774
AC005003.1 0.401 13.37191447 405.2 23.77 0.365614388 6 0 0 0.164406344897959
AC005008.2 0.38 12.8660353 472.63 13.75 -0.45148464 4 0 0 0.20729599122807
AC005358.1 2.095 13.01698682 400.38 23.57 -0.587735819 6 0 0 0.177835552941176
AC005477.1 0.389 12.45275475 513.35 17.27 0.637291042 12 0 0 0.1906504375
AC005481.5 0.361 13.28555727 502.81 10.79 0.157804697 4 0 0 0.202518531578947
AC005609.1 0.584 13.30011216 373.02 33.74 1.309187972 5 0 0 0.251034406612903
AC006116.20 0.426 13.40875607 298.63 32.85 0.447682172 6 0 0 0.214713464788732
AC006126.3 0.295 13.44189781 374.6 21.69 0.840099903 6 0 0 0.105809555142857
AC006132.1 0.325 12.79538473 498.46 14.14 0.16961342 6 0 0 0.220738896551724
AC006372.1 0.497 13.44225133 340.68 29.18 0.669797824 2 0 0 0.0954316274509804
AC006435.1 0.489 12.95426962 400.67 27.99 -0.188648651 7 0 0 0.200373135416667
AC006449.1 0.371 12.74501155 421.93 15.93 0.216406829 8 0 0 0.121328110204082
AC006455.1 0.452 12.93862598 380.3 22.79 1.003353562 5 0 0 0.206342296792453
AC006486.1 0.461 13.2389651 340.84 24.26 0.463334761 4 0 0 0.159240758490566
AC006946.15 0.336 13.03569772 457.06 24.73 1.148125726 8 0 0 0.245695058695652
AC006967.1 0.419 12.84091036 460.5 17.49 0.364198531 7 0 0 0.107244014634146
AC007040.11 0.624 13.19350091 333.96 32.76 0.62105042 4 0 0 0.172682057894737
AC007375.1 0.446 13.38366255 393.64 29.89 0.689509984 4 0 0 0.247653344
AC007390.5 0.258 13.20113526 379.4 24.78 -0.343147556 2 0 0 0.2195035626
AC007401.2 0.238 12.95915917 400.8 26.83 0.150417376 8 0 0 0.201922763829787
AC007405.2 0.818 13.28024905 410.2 30.14 1.13799503 10 0 0 0.139017895384615
AC007421.1 0.02 12.95437769 423.8 19.12 0.357816347 10 0 0 0.14859396122449
AC007431.1 0.467 13.32376168 375.33 32.3 0.630792891 4 0 0 0.27005083295082
AC007461.1 0.158 12.56564374 549.96 11.87 0.25802825 5 0 0 0.200791304918033
AC007557.1 0.304 13.06882986 458.2 20.77 0.040852425 5 0 0 0.259310875
AC007919.2 0.263 12.43397481 525.56 12.71 -0.226101225 6 0 0 0.233144048
AC007952.5 0.635 13.24760856 357.52 25.75 0.921174371 2 0 0 0.122694526415094
AC007952.6 0.632 13.23626645 322.4 24.07 0.766103977 3 0 0 0.206541240819672
AC008060.7 0.331 12.51614696 600.38 21.66 -0.046681275 4 0 0 0.160519724691358
AC008132.1 0.424 12.9372883 453.21 25.09 0.325188538 4 0 0 0.253624481785714
AC008132.13 1.394 13.3594906 356.52 25.17 0.783859153 2 0 0 0.109897103773585
AC008394.1 0.475 13.15949674 332.22 31.15 0.569305476 6 0 0 0.15508585
AC008443.1 0.443 13.06124577 420.4 22.27 0.47442846 4 0 0 0.152048688888889
AC008498.1 0.23 12.89295013 392.76 22.49 0.534842774 4 0 0 0.152845686538462
AC008948.1 0.278 12.8477064 395.04 32.23 -0.508239303 5 0 0 0.211314657142857
AC008964.1 0.212 12.64419727 456.64 15.45 -0.427805816 5 0 0 0.100491482916667
AC009365.3 0.463 13.18692465 361.46 28.24 0.647115298 5 0 0 0.133186242553191
AC009403.2 0.229 12.96480533 454.23 25.57 -0.388769037 3 0 0 0.3078031675
AC009892.10 0.211 12.77570486 566.26 10.06 -0.748940069 8 0 0 0.256869675
AC010327.2 0.821 12.76523899 527.72 17.99 -0.620956612 5 0 0 0.194973651666667
AC010336.1 0.737 12.99010514 367.68 28.91 0.241003406 4 0 0 0.167965514716981
AC010441.1 0.418 13.09865928 418.99 27.05 0.958634316 5 0 0 0.168220348076923
AC010536.1 0.884 13.14767997 386 29.09 1.324335689 4 0 0 0.297223515517241
AC011294.3 0.333 12.77355891 427.79 31 0.13232853 5 0 0 0.184467960147059
AC011366.3 0.121 12.90544612 419.29 25.64 0.635316245 4 0 0 0.19868482745098
AC011484.1 0.617 13.5512484 290.97 34.54 1.821750816 4 0 0 0.16838981969697
AC011755.1 0.383 12.90892834 521.22 7.13 -0.613701101 7 0 0 0.288583128571429
AC011897.1 0.46 13.30070609 349.51 23.04 0.243329675 7 0 0 0.208410896296296
AC011997.1 0.281 13.07299828 432.61 22.32 0.730950797 5 0 0 0.206601681818182
AC012123.1 0.587 13.22994424 353.93 25.93 0.111313995 2 0 0 0.116306991111111
AC012215.1 0.422 12.99029215 378.42 17.34 0.010706519 6 0 0 0.165722443396226
AC012493.2 0.308 12.77066977 431.34 22.7 -0.611314195 7 0 0 0.186596029545455
AC013269.5 0.47 13.50974572 327.58 29.79 0.85766798 6 0 0 0.1904279218
AC013449.1 0.413 13.25831388 447.24 13.52 0.074380552 3 0 0 0.12503329375
AC015987.2 0.26 12.56310641 657.83 19.06 0.22661286 6 0 0 0.2161858625
AC015989.2 0.314 13.15420965 370.56 26.12 0.485951493 3 0 0 0.175268876086957
AC016251.1 0.386 13.27368219 434.47 16.9 -0.052119339 5 0 0 0.117979161904762
AC016586.1 0.419 12.84091036 460.5 17.49 0.364198531 7 0 0 0.107244014634146
AC016722.1 0.404 12.38950802 579.23 16.94 0.299285083 5 0 0 0.17721696
AC016757.3 0.516 12.88004133 418.69 24.31 0.908065082 4 0 0 0.227436621153846
AC017081.1 0.386 13.27368219 434.47 16.9 -0.052119339 5 0 0 0.117979161904762
AC018470.1 1.556 13.3661251 259.92 28.47 2.884012871 9 0 0 0.167816704285714
AC018630.1 0.194 12.74225869 431.43 23.56 0.213884588 6 0 0 0.190216163636364
AC018755.1 0.799 12.65781312 465.11 11.76 0.597057296 5 0 0 0.191831723692308
AC018816.3 0.281 12.83177029 426 24.09 0.150160868 4 0 0 0.259544651219512
AC018867.2 0.143 13.05500203 391.38 26.26 0.115028176 4 0 0 0.245378308510638
AC019294.1 0.623 13.65269439 356.72 39.24 1.097637914 6 0 0 0.123759582875
AC020907.1 0.452 12.93862598 380.3 22.79 1.003353562 5 0 0 0.206342296792453
AC020922.1 0.395 12.77833899 453.84 24.27 -0.224426254 4 0 0 0.249932948571429
AC021218.2 0.907 13.1610448 351.31 29.46 0.569793999 4 0 0 0.130769308
AC021860.1 0.548 13.91272065 252.47 43.99 0.525546473 11 0 0 0.0987534101123596
AC022400.2 0.449 12.97173849 404.54 23.3 0.101852457 6 0 0 0.172837595555556
AC022431.2 0.409 13.26193711 359.45 31.9 0.586664543 2 0 0 0.115570559259259
AC022498.1 0.38 12.8660353 472.63 13.75 -0.45148464 4 0 0 0.20729599122807
AC022532.1 0.479 13.04049118 447.31 22.14 0.066327932 7 0 0 0.171046829285714
AC023469.1 0.296 12.9470244 426.17 25.8 0.733810723 4 0 0 0.269023590612245
AC023590.1 0.121 12.90544612 419.29 25.64 0.635316245 4 0 0 0.19868482745098
AC023632.1 0.251 13.10721632 415.81 28.92 0.335499899 6 0 0 0.163762896078431
AC024257.1 0.458 13.09233289 451.26 28.98 0.401493699 2 0 0 0.2005773265625
AC024940.1 0.485 12.82223907 441.27 19.49 0.380773398 8 0 0 0.156136942894737
AC025278.1 0.251 13.10721632 415.81 28.92 0.335499899 6 0 0 0.163762896078431
AC026310.1 0.746 12.82085744 439.26 20.26 -0.22363988 7 0 0 0.23090084075
AC026703.1 0.371 12.97220809 526.05 24.47 -0.729757964 7 0 0 0.246109646753247
AC027309.1 0.197 11.93964488 740.31 -1.59 -0.759413969 2 0 0 0.179852990909091
AC027763.2 0.378 13.12071964 398.94 26.35 0.413284728 7 0 0 0.194167589361702
AC037459.4 0.419 12.84091036 460.5 17.49 0.364198531 7 0 0 0.107244014634146
AC040160.1 0.558 13.43209597 385.93 17.9 -0.073847335 5 0 0 0.157543691176471
AC062017.1 0.173 12.88516455 398.6 19.33 -0.024093113 4 0 0 0.209818217391304
AC064874.1 0.181 12.23604486 579.18 4.86 0.005770904 6 0 0 0.201560436764706
AC068987.1 0.383 12.90892834 521.22 7.13 -0.613701101 7 0 0 0.288583128571429
AC069547.1 0.227 12.73010129 500.91 15.49 -0.572567889 6 0 0 0.244282047666667
AC069547.2 0.386 13.27368219 434.47 16.9 -0.052119339 5 0 0 0.117979161904762
AC073188.1 0.452 12.93862598 380.3 22.79 1.003353562 5 0 0 0.206342296792453
AC073333.1 0.386 13.27368219 434.47 16.9 -0.052119339 5 0 0 0.117979161904762
AC074091.13 0.59 13.05939415 396.39 28.45 0.62847254 7 0 0 0.195677319047619
AC074212.3 1.987 12.71932708 560.73 4.47 -1.049000484 7 0 0 0.288928003174603
AC074389.6 0.59 13.05939415 396.39 28.45 0.62847254 7 0 0 0.195677319047619
AC079210.1 0.401 13.25698999 355.86 37.03 0.901069392 4 0 0 0.126459766619718
AC079341.1 0.305 12.83083883 485.17 17.31 -0.314083021 10 0 0 0.139678601724138
AC079354.1 2.075 12.83757875 546.16 7.928 0.634700111 4 0 0 0.18022181641791
AC079354.2 0.149 12.85348653 419.21 18.09 0.183352625 3 0 0 0.14383561
AC079602.1 0.41 13.00233019 438.25 18.98 0.004549139 4 0 0 0.182467883333333
AC079612.1 0.601 13.32619163 316.93 22.38 0.834564207 5 0 0 0.140203572307692
AC084121.16 0.86 13.34572715 388.29 27.28 1.097101358 7 0 0 0.281592924561404
AC087645.1 1.051 12.39067342 578.93 9.08 -0.233078067 4 0 0 0.187142441935484
AC090186.1 0.101 12.80827736 442.3 20.43 -0.176551963 8 0 0 0.168320803513514
AC090616.2 0.439 13.38076252 366.35 28.79 0.80990981 4 0 0 0.136024005490196
AC091150.1 0.542 13.49125963 228.83 38.72 0.6603133 4 0 0 0.145794008433735
AC091801.1 0.437 13.4357819 340.16 29.36 0.721455002 2 0 0 0.0949927352941177
AC092291.2 0.218 12.61428994 479.89 8.91 -0.460947951 7 0 0 0.189571341917808
AC092675.3 0.251 13.10721632 415.81 28.92 0.335499899 6 0 0 0.163762896078431
AC092687.4 0.292 13.16563447 445.67 19.225 -0.076776079 8 0 0 0.188087532368421
AC092811.1 0.353 13.14759231 395.08 15.71 0.252737229 6 0 0 0.158455271153846
AC092850.1 0.65 12.93248646 416.6 27.35 0.270170832 6 0 0 0.179643368
AC093157.1 0.377 13.20858109 408.07 5.16 -0.475981725 5 0 0 0.203107229113924
AC093323.1 0.413 12.90542846 410.45 23 -0.061003034 8 0 0 0.180457952272727
AC093802.1 0.192 13.14439351 340.98 33.22 0.549424961 4 0 0 0.152830757692308
AC096677.1 0.731 13.18941864 333.15 30.18 0.844098502 6 0 0 0.160393744
AC097381.1 0.821 12.96799195 431.25 27.31 1.595514966 3 0 0 0.174555984
AC099552.4 0.228 12.69679783 484.43 12.89 -0.637419733 7 0 0 0.195350589655172
AC102948.2 0.183 12.35755436 561.95 -0.64 -0.043965744 6 0 0 0.246524375757576
AC103809.2 0.415 13.45699813 338.54 24.07 1.032353348 5 0 0 0.11871770754717
AC104057.1 0.921 12.78675971 440.22 20.37 0.427348579 6 0 0 0.227224292702703
AC104472.1 0.392 13.38890267 314.98 28.37 0.433802332 6 0 0 0.180106283018868
AC104841.2 0.236 13.69746911 321.91 32.89 0.663842419 5 0 0 0.229933068518519
AC105020.1 0.383 12.90892834 521.22 7.13 -0.613701101 7 0 0 0.288583128571429
AC106017.1 0.405 12.9430851 447.42 20.87 0.003299697 5 0 0 0.216129404666667
AC106873.4 0.169 13.12570068 391.57 28.84 0.824180155 5 0 0 0.249253470212766
AC106876.2 0.276 13.20935876 447.5 13.53 -0.551614624 3 0 0 0.1251127
AC107021.1 0.188 12.83072405 426.17 20.77 -0.605349391 9 0 0 0.230232826190476
AC110615.1 0.297 13.34085061 369.55 20.09 -0.44045129 4 0 0 0.142896707017544
AC110619.2 0.682 13.22247333 286.97 34.19 1.477567199 6 0 0 0.116316070769231
AC110771.1 0.719 13.45681794 364.53 26.9 0.869390144 5 0 0 0.130378370196078
AC110781.3 0.673 12.79983945 440.49 15.67 0.591333295 3 0 0 0.18387154075
AC112693.2 0.551 13.30414973 365.73 27.19 -0.039964942 5 0 0 0.136656136153846
AC112715.2 0.193 12.84373578 470.06 11.92 -0.692350252 2 0 0 0.22575426
AC112721.1 0.331 12.51614696 600.38 21.66 -0.046681275 4 0 0 0.160519724691358
AC114494.1 0.428 13.1691081 364.94 27.58 0.732885846 5 0 0 0.153694095769231
AC114546.1 0.209 12.84876713 549.3 6.38 -0.837622777 3 0 0 0.248736732857143
AC114783.1 0.531 14.06226167 232.47 46.48 1.170334334 7 0 0 0.220801180898876
AC115618.1 0.395 13.19473815 360.21 23.19 0.716007922 7 0 0 0.0963448725490196
AC116407.2 0.512 13.56951681 330.05 36.43 0.78093159 7 0 0 0.239476708064516
AC117834.1 0.221 12.23121438 549.69 6.88 -0.252942593 3 0 0 0.262360817647059
AC119673.1 0.254 12.94946666 417.59 28.78 0.60183892 6 0 0 0.179145769811321
AC120194.1 0.152 12.88828614 416.87 15.82 0.212732021 6 0 0 0.164680182758621
AC124890.1 0.26 12.56310641 657.83 19.06 0.22661286 6 0 0 0.2161858625
AC126614.1 0.344 12.93653234 462.16 17.09 0.102714847 6 0 0 0.110955284090909
AC127496.1 0.476 13.42159734 350.96 33.95 1.007024348 8 0 0 0.150339308412698
AC129492.6 0.5 12.83300412 442.19 28.28 1.242921756 10 0 0 0.209718912727273
AC131097.4 0.303 13.07601682 462.46 19.34 -0.0016875 7 0 0 0.157884102631579
AC131935.1 0.203 12.66748242 500.38 21.64 0.350136754 5 0 0 0.248570736451613
AC131971.1 0.185 12.77538115 447.38 21.2 -0.451495613 6 0 0 0.226839161707317
AC132186.1 0.611 13.32146758 353.68 32.6 1.406146881 4 0 0 0.135796129516129
AC132216.1 0.374 13.03016555 399.38 16.44 0.039887701 4 0 0 0.214764149019608
AC132872.2 0.392 13.38890267 314.98 28.37 0.433802332 6 0 0 0.180106283018868
AC135178.1 0.419 12.84091036 460.5 17.49 0.364198531 7 0 0 0.107244014634146
AC137056.1 0.413 12.90542846 410.45 23 -0.061003034 8 0 0 0.180457952272727
AC137932.1 0.404 12.38950802 579.23 16.94 0.299285083 5 0 0 0.17721696
AC138647.1 0.577 13.06886695 407.75 25.8 0.437046741 8 0 0 0.104339179069767
AC138655.1 0.458 13.09233289 451.26 28.98 0.401493699 2 0 0 0.2005773265625
AC138969.4 1.212 13.19718623 334.71 34.49 1.191851374 5 0 0 0.156669901666667
AC139100.2 0.679 12.79921512 436.59 18.87 0.668314953 5 0 0 0.147692795121951
AC139426.2 0.533 13.53376481 290.56 32.45 1.532157483 6 0 0 0.1456178734375
AC140481.2 0.599 12.97832152 430.01 19.01 -0.068571875 6 0 0 0.09806066
AC144568.2 0.194 12.74225869 431.43 23.56 0.213884588 6 0 0 0.190216163636364
